TAG,XLOC,YLOC,SIZE
A1,0.313,1.500,<MOD-DIAM>0.25 THRU
A2,0.313,2.500,<MOD-DIAM>0.25 THRU
A3,0.313,3.500,<MOD-DIAM>0.25 THRU
A4,0.313,4.500,<MOD-DIAM>0.25 THRU
A5,0.813,0.500,<MOD-DIAM>0.25 THRU
A6,0.813,4.750,<MOD-DIAM>0.25 THRU
A7,1.813,0.500,<MOD-DIAM>0.25 THRU
A8,1.813,4.750,<MOD-DIAM>0.25 THRU
A9,2.813,0.500,<MOD-DIAM>0.25 THRU
A10,2.813,4.750,<MOD-DIAM>0.25 THRU
A11,3.813,0.500,<MOD-DIAM>0.25 THRU
A12,3.813,4.750,<MOD-DIAM>0.25 THRU
A13,4.813,0.500,<MOD-DIAM>0.25 THRU
A14,4.813,4.750,<MOD-DIAM>0.25 THRU
A15,5.813,0.500,<MOD-DIAM>0.25 THRU
A16,5.813,4.750,<MOD-DIAM>0.25 THRU
A17,6.813,0.500,<MOD-DIAM>0.25 THRU
A18,6.813,4.750,<MOD-DIAM>0.25 THRU
A19,7.813,0.500,<MOD-DIAM>0.25 THRU
A20,7.813,4.750,<MOD-DIAM>0.25 THRU
A21,8.313,1.500,<MOD-DIAM>0.25 THRU
A22,8.313,2.500,<MOD-DIAM>0.25 THRU
A23,8.313,3.500,<MOD-DIAM>0.25 THRU
A24,8.313,4.500,<MOD-DIAM>0.25 THRU

