TAG,XLOC,YLOC,SIZE
A1,1.00,-1.50,<MOD-DIAM>0.25 THRU
A2,1.00,-1.00,<MOD-DIAM>0.25 THRU
A3,1.00,-0.50,<MOD-DIAM>0.25 THRU
A4,2.00,-1.50,<MOD-DIAM>0.25 THRU
A5,2.00,-1.00,<MOD-DIAM>0.25 THRU
A6,2.00,-0.50,<MOD-DIAM>0.25 THRU
A7,3.50,-1.50,<MOD-DIAM>0.25 THRU
A8,3.50,-1.00,<MOD-DIAM>0.25 THRU
A9,3.50,-0.50,<MOD-DIAM>0.25 THRU
A10,4.50,-1.50,<MOD-DIAM>0.25 THRU
A11,4.50,-1.00,<MOD-DIAM>0.25 THRU
A12,4.50,-0.50,<MOD-DIAM>0.25 THRU
A13,5.50,-1.50,<MOD-DIAM>0.25 THRU
A14,5.50,-1.00,<MOD-DIAM>0.25 THRU
A15,5.50,-0.50,<MOD-DIAM>0.25 THRU
A16,6.50,-1.50,<MOD-DIAM>0.25 THRU
A17,6.50,-1.00,<MOD-DIAM>0.25 THRU
A18,6.50,-0.50,<MOD-DIAM>0.25 THRU
A19,7.50,-1.50,<MOD-DIAM>0.25 THRU
A20,7.50,-1.00,<MOD-DIAM>0.25 THRU
A21,7.50,-0.50,<MOD-DIAM>0.25 THRU
A22,8.50,-1.50,<MOD-DIAM>0.25 THRU
A23,8.50,-1.00,<MOD-DIAM>0.25 THRU
A24,8.50,-0.50,<MOD-DIAM>0.25 THRU
A25,9.50,-1.50,<MOD-DIAM>0.25 THRU
A26,9.50,-1.00,<MOD-DIAM>0.25 THRU
A27,9.50,-0.50,<MOD-DIAM>0.25 THRU
A28,10.50,-1.50,<MOD-DIAM>0.25 THRU
A29,10.50,-1.00,<MOD-DIAM>0.25 THRU
A30,10.50,-0.50,<MOD-DIAM>0.25 THRU
A31,11.50,-1.50,<MOD-DIAM>0.25 THRU
A32,11.50,-1.00,<MOD-DIAM>0.25 THRU
A33,11.50,-0.50,<MOD-DIAM>0.25 THRU
A34,12.50,-1.50,<MOD-DIAM>0.25 THRU
A35,12.50,-1.00,<MOD-DIAM>0.25 THRU
A36,12.50,-0.50,<MOD-DIAM>0.25 THRU
A37,13.50,-1.50,<MOD-DIAM>0.25 THRU
A38,13.50,-1.00,<MOD-DIAM>0.25 THRU
A39,13.50,-0.50,<MOD-DIAM>0.25 THRU
A40,14.50,-1.50,<MOD-DIAM>0.25 THRU
A41,14.50,-1.00,<MOD-DIAM>0.25 THRU
A42,14.50,-0.50,<MOD-DIAM>0.25 THRU
A43,15.50,-1.50,<MOD-DIAM>0.25 THRU
A44,15.50,-1.00,<MOD-DIAM>0.25 THRU
A45,15.50,-0.50,<MOD-DIAM>0.25 THRU
A46,16.50,-1.50,<MOD-DIAM>0.25 THRU
A47,16.50,-1.00,<MOD-DIAM>0.25 THRU
A48,16.50,-0.50,<MOD-DIAM>0.25 THRU
A49,17.50,-1.50,<MOD-DIAM>0.25 THRU
A50,17.50,-1.00,<MOD-DIAM>0.25 THRU
A51,17.50,-0.50,<MOD-DIAM>0.25 THRU
A52,18.50,-1.50,<MOD-DIAM>0.25 THRU
A53,18.50,-1.00,<MOD-DIAM>0.25 THRU
A54,18.50,-0.50,<MOD-DIAM>0.25 THRU
A55,19.50,-1.50,<MOD-DIAM>0.25 THRU
A56,19.50,-1.00,<MOD-DIAM>0.25 THRU
A57,19.50,-0.50,<MOD-DIAM>0.25 THRU
A58,20.50,-1.50,<MOD-DIAM>0.25 THRU
A59,20.50,-1.00,<MOD-DIAM>0.25 THRU
A60,20.50,-0.50,<MOD-DIAM>0.25 THRU
A61,21.50,-1.50,<MOD-DIAM>0.25 THRU
A62,21.50,-1.00,<MOD-DIAM>0.25 THRU
A63,21.50,-0.50,<MOD-DIAM>0.25 THRU
A64,22.50,-1.50,<MOD-DIAM>0.25 THRU
A65,22.50,-1.00,<MOD-DIAM>0.25 THRU
A66,22.50,-0.50,<MOD-DIAM>0.25 THRU
A67,23.50,-1.50,<MOD-DIAM>0.25 THRU
A68,23.50,-1.00,<MOD-DIAM>0.25 THRU
A69,23.50,-0.50,<MOD-DIAM>0.25 THRU
A70,24.50,-1.50,<MOD-DIAM>0.25 THRU
A71,24.50,-1.00,<MOD-DIAM>0.25 THRU
A72,24.50,-0.50,<MOD-DIAM>0.25 THRU
A73,25.50,-1.50,<MOD-DIAM>0.25 THRU
A74,25.50,-1.00,<MOD-DIAM>0.25 THRU
A75,25.50,-0.50,<MOD-DIAM>0.25 THRU
A76,27.00,-1.50,<MOD-DIAM>0.25 THRU
A77,27.00,-1.00,<MOD-DIAM>0.25 THRU
A78,27.00,-0.50,<MOD-DIAM>0.25 THRU
A79,28.00,-1.50,<MOD-DIAM>0.25 THRU
A80,28.00,-1.00,<MOD-DIAM>0.25 THRU
A81,28.00,-0.50,<MOD-DIAM>0.25 THRU
