TAG,XLOC,YLOC,SIZE
A1,0.50,-0.50,<MOD-DIAM>0.25 THRU
A2,1.50,-0.50,<MOD-DIAM>0.25 THRU
A3,2.50,-0.50,<MOD-DIAM>0.25 THRU
A4,3.50,-0.50,<MOD-DIAM>0.25 THRU
A5,5.00,-0.50,<MOD-DIAM>0.25 THRU
A6,6.00,-0.50,<MOD-DIAM>0.25 THRU
A7,7.00,-0.50,<MOD-DIAM>0.25 THRU
A8,8.00,-0.50,<MOD-DIAM>0.25 THRU
A9,8.50,-0.50,<MOD-DIAM>0.25 THRU
A10,9.00,-0.50,<MOD-DIAM>0.25 THRU
A11,10.00,-0.50,<MOD-DIAM>0.25 THRU
A12,11.00,-0.50,<MOD-DIAM>0.25 THRU
A13,12.00,-0.50,<MOD-DIAM>0.25 THRU
A14,13.00,-0.50,<MOD-DIAM>0.25 THRU
A15,14.00,-0.50,<MOD-DIAM>0.25 THRU
A16,15.00,-0.50,<MOD-DIAM>0.25 THRU
A17,16.00,-0.50,<MOD-DIAM>0.25 THRU
A18,17.00,-0.50,<MOD-DIAM>0.25 THRU
A19,18.00,-0.50,<MOD-DIAM>0.25 THRU
A20,19.00,-0.50,<MOD-DIAM>0.25 THRU
A21,20.00,-0.50,<MOD-DIAM>0.25 THRU
A22,20.50,-0.50,<MOD-DIAM>0.25 THRU
A23,21.00,-0.50,<MOD-DIAM>0.25 THRU
A24,22.00,-0.50,<MOD-DIAM>0.25 THRU
A25,23.00,-0.50,<MOD-DIAM>0.25 THRU
A26,24.00,-0.50,<MOD-DIAM>0.25 THRU
A27,25.50,-0.50,<MOD-DIAM>0.25 THRU
A28,26.50,-0.50,<MOD-DIAM>0.25 THRU
A29,27.50,-0.50,<MOD-DIAM>0.25 THRU
A30,28.50,-0.50,<MOD-DIAM>0.25 THRU
