TAG,XLOC,YLOC,SIZE
A1,3.50,-0.50,<MOD-DIAM>0.16 THRU
A2,4.50,-0.50,<MOD-DIAM>0.16 THRU
A3,5.50,-0.50,<MOD-DIAM>0.16 THRU
A4,6.50,-0.50,<MOD-DIAM>0.16 THRU
A5,7.50,-0.50,<MOD-DIAM>0.16 THRU
A6,8.50,-0.50,<MOD-DIAM>0.16 THRU
A7,9.50,-0.50,<MOD-DIAM>0.16 THRU
A8,10.50,-0.50,<MOD-DIAM>0.16 THRU
A9,11.50,-0.50,<MOD-DIAM>0.16 THRU
A10,16.50,-0.50,<MOD-DIAM>0.16 THRU
A11,17.50,-0.50,<MOD-DIAM>0.16 THRU
A12,18.50,-0.50,<MOD-DIAM>0.16 THRU
A13,19.50,-0.50,<MOD-DIAM>0.16 THRU
A14,20.50,-0.50,<MOD-DIAM>0.16 THRU
A15,21.50,-0.50,<MOD-DIAM>0.16 THRU
A16,22.50,-0.50,<MOD-DIAM>0.16 THRU
A17,23.50,-0.50,<MOD-DIAM>0.16 THRU
