TAG,XLOC,YLOC,SIZE
A1,0.375,11.000,<MOD-DIAM>0.25 THRU
A2,0.375,12.000,<MOD-DIAM>0.25 THRU
A3,0.500,0.543,<MOD-DIAM>0.25 THRU
A4,0.500,1.793,<MOD-DIAM>0.25 THRU
A5,0.500,3.043,<MOD-DIAM>0.25 THRU
A6,1.500,0.543,<MOD-DIAM>0.25 THRU
A7,1.500,1.793,<MOD-DIAM>0.25 THRU
A8,1.500,3.043,<MOD-DIAM>0.25 THRU
A9,2.250,13.000,<MOD-DIAM>0.25 THRU
A10,3.750,7.466,<MOD-DIAM>0.25 THRU
A11,9.700,2.444,<MOD-DIAM>0.25 THRU
A12,11.500,4.418,<MOD-DIAM>0.25 THRU
A13,11.500,5.418,<MOD-DIAM>0.25 THRU
A14,11.500,6.418,<MOD-DIAM>0.25 THRU
A15,11.500,7.418,<MOD-DIAM>0.25 THRU
A16,11.500,8.418,<MOD-DIAM>0.25 THRU
A17,11.500,9.418,<MOD-DIAM>0.25 THRU
A18,11.500,10.418,<MOD-DIAM>0.25 THRU
A19,11.500,11.418,<MOD-DIAM>0.25 THRU
A20,11.500,12.418,<MOD-DIAM>0.25 THRU
A21,11.792,22.434,<MOD-DIAM>0.25 THRU
A22,12.397,19.000,<MOD-DIAM>0.25 THRU
A23,12.500,16.100,<MOD-DIAM>0.25 THRU
A24,15.325,17.000,<MOD-DIAM>0.25 THRU
A25,15.325,18.000,<MOD-DIAM>0.25 THRU
B1,0.543,13.962,<MOD-DIAM>0.19 THRU
B2,0.543,15.376,<MOD-DIAM>0.19 THRU
B3,1.957,13.962,<MOD-DIAM>0.19 THRU
B4,1.957,15.376,<MOD-DIAM>0.19 THRU
B5,13.418,12.293,<MOD-DIAM>0.19 THRU
B6,13.418,13.707,<MOD-DIAM>0.19 THRU
B7,14.832,12.293,<MOD-DIAM>0.19 THRU
B8,14.832,13.707,<MOD-DIAM>0.19 THRU
E1,1.250,14.669,<MOD-DIAM>1.13 THRU
E2,2.000,17.500,<MOD-DIAM>1.13 THRU
E3,14.125,13.000,<MOD-DIAM>1.13 THRU
